,Symbol,Name
1,360ONE.NS,360 ONE WAM
2,3MINDIA.NS,3M India
3,ABB.NS,Aarti Drugs
4,ACC.NS,AAVAS Financier
5,AIAENG.NS,ABB India
6,APLAPOLLO.NS,Abbott India
7,AUBANK.NS,ACC
8,AARTIDRUGS.NS,Adani Enterpris
9,AARTIIND.NS,Adani Green Ene
10,AAVAS.NS,Adani Ports
11,ABBOTINDIA.NS,Adani Total Gas
12,ADANIENT.NS,Adani Trans
13,ADANIGREEN.NS,Adani Wilmar
14,ADANIPORTS.NS,AB Capital
15,ADANIPOWER.NS,Aditya Birla F
16,ATGL.NS,ABSL AMC
17,ADANITRANS.NS,Aegis Logistics
18,AWL.NS,Aether Ind
19,ABCAPITAL.NS,Affle India
20,ABFRL.NS,AIA Engineering
21,AEGISCHEM.NS,Ajanta Pharma
22,AETHER.NS,Alembic Pharma
23,AFFLE.NS,Alkem Lab
24,AJANTPHARM.NS,Alkyl Amines
25,APLLTD.NS,Allcargo
26,ALKEM.NS,Alok Industries
27,ALKYLAMINE.NS,Amara Raja Batt
28,AMARAJABAT.NS,Amber Enterpris
29,AMBER.NS,Ambuja Cements
30,AMBUJACEM.NS,Angel One
31,ANGELONE.NS,Anupam Rasayan
32,ANURAS.NS,APL Apollo
33,APARINDS.NS,Apollo Hospital
34,APOLLOHOSP.NS,Apollo Tyres
35,APOLLOTYRE.NS,APTUS VALUE
36,APTUS.NS,Asahi India
37,ACI.NS,Ashok Leyland
38,ASAHIINDIA.NS,Asian Paints
39,ASHOKLEY.NS,Aster DM Health
40,ASIANPAINT.NS,Astral Ltd
41,ASTERDM.NS,AstraZeneca
42,ASTRAL.NS,Atul
43,ATUL.NS,AU Small Financ
44,AUROPHARMA.NS,Aurobindo Pharm
45,AVANTIFEED.NS,Avanti Feeds
46,DMART.NS,Avenue Supermar
47,AXISBANK.NS,Axis Bank
48,BASF.NS,Bajaj Auto
49,BEML.NS,Bajaj Electric
50,BLS.NS,Bajaj Finance
51,BSE.NS,Bajaj Finserv
52,BAJAJ-AUTO.NS,Bajaj Holdings
53,BAJAJELEC.NS,Balaji Amines
54,BAJFINANCE.NS,Balkrishna Ind
55,BAJAJFINSV.NS,Balrampur Chini
56,BAJAJHLDNG.NS,Bandhan Bank
57,BALAMINES.NS,Bank of Baroda
58,BALKRISIND.NS,Bank of India
59,BALRAMCHIN.NS,Bank of Mah
60,BANDHANBNK.NS,BASF
61,BANKBARODA.NS,Bata India
62,BANKINDIA.NS,Bayer CropScien
63,MAHABANK.NS,Berger Paints
64,BATAINDIA.NS,Bharat Dynamics
65,BAYERCROP.NS,Bharat Elec
66,BERGEPAINT.NS,Bharat Forge
67,BDL.NS,BHEL
68,BEL.NS,BPCL
69,BHARATFORG.NS,Bharat Rasayan
70,BHEL.NS,Bharti Airtel
71,BPCL.NS,Biocon
72,BHARTIARTL.NS,Birla Corp
73,BIKAJI.NS,Birlasoft
74,BIOCON.NS,Blue Dart
75,BIRLACORPN.NS,Blue Star
76,BSOFT.NS,Bombay Burmah
77,BLUEDART.NS,Borosil Renew
78,BLUESTARCO.NS,Bosch
79,BBTC.NS,Brigade Ent
80,BORORENEW.NS,Brightcom Group
81,BOSCHLTD.NS,Britannia
82,BRIGADE.NS,BSE Limited
83,BCG.NS,C. E. Info Syst
84,BRITANNIA.NS,Campus Active
85,MAPMYINDIA.NS,Can Fin Homes
86,CCL.NS,Canara Bank
87,CESC.NS,Caplin Labs
88,CGPOWER.NS,Capri Global
89,CRISIL.NS,Carborundum
90,CSBBANK.NS,Castrol
91,CAMPUS.NS,CCL Products
92,CANFINHOME.NS,Ceat
93,CANBK.NS,Central Bank
94,CGCL.NS,CDSL
95,CARBORUNIV.NS,CenturyPlyboard
96,CASTROLIND.NS,Century
97,CEATLTD.NS,Cera Sanitary
98,CENTRALBK.NS,CESC
99,CDSL.NS,CG Power
100,CENTURYPLY.NS,Chalet Hotels
101,CENTURYTEX.NS,Chambal Fert
102,CERA.NS,CHEMPLAST SANMA
103,CHALET.NS,Chola Fin Hold
104,CHAMBLFERT.NS,Chola Invest.
105,CHEMPLASTS.NS,Cipla
